ano,id_municipio,populacao_urbana,populacao_urbana_residente_agua,populacao_urbana_atendida_agua,populacao_urbana_residente_esgoto,populacao_urbana_atendida_esgoto
2021,3521309,16098.0,16098.0,15538.0,16098.0,15538.0
2020,3528908,3277.0,3277.0,3277.0,3277.0,3277.0
2019,3529401,472912.0,472912.0,463453.0,472912.0,439076.0
2020,3533700,3426.0,3426.0,3426.0,3426.0,3426.0
2021,3533809,1614.0,1614.0,1614.0,1614.0,1614.0
2020,3533908,52066.0,52066.0,52066.0,52066.0,52066.0
2021,3536703,44196.0,44196.0,44196.0,44196.0,44196.0
2019,3537206,7810.0,7810.0,6856.0,7810.0,4121.0
2020,3538808,26857.0,26857.0,26857.0,26857.0,26857.0
2021,3540200,50751.0,50751.0,50751.0,50751.0,50751.0
2020,3546801,45487.0,45487.0,38686.0,45487.0,25966.0
2019,3548203,4048.0,4048.0,3842.0,4048.0,2180.0
2020,3548807,161957.0,161957.0,161957.0,161957.0,161957.0
2021,3549250,1584.0,1584.0,1576.0,1584.0,1576.0
2020,3551306,2752.0,2752.0,2752.0,2752.0,2752.0
2019,3551900,16675.0,16675.0,16675.0,16675.0,16675.0
2019,3553500,5581.0,5581.0,5339.0,5581.0,4823.0
2020,3556305,25507.0,25507.0,25507.0,25507.0,25507.0
2021,3556909,8452.0,8452.0,8452.0,8452.0,8452.0
2020,1707405,5424.0,5424.0,5346.0,5424.0,810.0
2019,2900207,10628.0,10628.0,10628.0,10628.0,6793.0
2019,2906873,25107.0,25107.0,25107.0,25107.0,0.0
2021,2907202,42256.0,42256.0,42256.0,42256.0,32000.0
2019,2911204,26541.0,26541.0,22915.0,26541.0,26541.0
2019,2913705,17194.0,17194.0,17194.0,17194.0,14325.0
2019,2915205,9185.0,9185.0,9185.0,9185.0,3504.0
2021,2915403,5223.0,5223.0,5211.0,5223.0,3279.0
2020,2916401,74549.0,74549.0,74549.0,74549.0,67757.0
2021,2917706,18568.0,18568.0,18559.0,18568.0,9333.0
2020,2917706,18475.0,18475.0,18464.0,18475.0,9282.0
2021,2921708,20441.0,20441.0,20401.0,20441.0,13804.0
2021,2301406,3844.0,3844.0,2588.0,3844.0,866.0
2019,2301950,9311.0,9311.0,5473.0,9311.0,1041.0
2021,2306553,18117.0,18117.0,7455.0,18117.0,1659.0
2019,2307700,98026.0,98026.0,67787.0,98026.0,11159.0
2020,2312601,8421.0,8421.0,5428.0,8421.0,825.0
2021,3200136,3084.0,3084.0,2786.0,3084.0,3084.0
2019,3200706,7411.0,7411.0,6885.0,7411.0,6395.0
2021,3201605,24979.0,24979.0,23027.0,24979.0,540.0
2020,3203403,16365.0,16365.0,16116.0,16365.0,10653.0
2019,3205002,513948.0,513948.0,447227.0,513948.0,361342.0
2019,3205036,7520.0,7520.0,4660.0,7520.0,3920.0
2021,5204409,14134.0,14134.0,14134.0,14134.0,14134.0
2020,5208707,1530286.0,1530286.0,1521830.0,1530286.0,1424138.0
2021,5208905,16674.0,16674.0,16674.0,16674.0,16590.0
2021,5221403,126470.0,126470.0,123624.0,126470.0,92207.0
2021,3102852,4334.0,4334.0,4015.0,4334.0,4015.0
2020,3105400,29797.0,29797.0,24856.0,29797.0,29415.0
2021,3112604,15241.0,15241.0,12985.0,15241.0,15000.0
2019,3113602,5045.0,5045.0,4540.0,5045.0,5030.0
2021,3118908,6123.0,6123.0,5841.0,6123.0,3238.0
2019,3121001,3206.0,3206.0,3206.0,3206.0,3206.0
2021,3121605,41849.0,41849.0,40574.0,41849.0,32015.0
2019,3122306,232079.0,232079.0,227376.0,232079.0,200263.0
2019,3123809,4830.0,4830.0,4253.0,4830.0,2452.0
2020,3124005,10004.0,10004.0,10004.0,10004.0,9971.0
2019,3124500,5129.0,5129.0,5129.0,5129.0,5129.0
2019,3124807,6490.0,6490.0,5485.0,6490.0,2860.0
2019,3128204,3250.0,3250.0,3250.0,3250.0,2775.0
2021,3129806,183609.0,183609.0,151870.0,183609.0,123840.0
2021,3130200,9237.0,9237.0,6302.0,9237.0,9120.0
2019,3132404,88434.0,88434.0,81810.0,88434.0,76118.0
2021,3136306,38978.0,38978.0,34906.0,38978.0,32894.0
