ano,id_municipio,extensao_rede_agua,extensao_rede_esgoto,quantidade_sede_municipal_agua,quantidade_sede_municipal_esgoto,quantidade_localidade_agua,quantidade_localidade_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,volume_agua_produzido,volume_esgoto_tratado
2020,2306702,44.1,1.19,1.0,1.0,0.0,0.0,3683.0,127.0,581.88,7.32
2021,2310209,93.98,24.82,1.0,1.0,1.0,0.0,4012.0,1727.0,585.84,152.36
2021,2310407,21.78,5.26,1.0,1.0,0.0,0.0,2352.0,438.0,472.59,25.45
2020,2313104,91.03,6.79,1.0,1.0,0.0,0.0,8081.0,1046.0,1608.39,79.64
2021,3202306,73.0,63.66,1.0,1.0,2.0,2.0,8783.0,7831.0,3110.4,0.0
2019,3203320,478.1,92.0,1.0,1.0,14.0,12.0,15296.0,7319.0,4.48,1534.53
2019,3203809,60.38,36.5,1.0,1.0,1.0,1.0,3504.0,2800.0,625.89,0.0
2019,3204104,91.52,12500.0,1.0,1.0,1.0,0.0,6659.0,70000.0,1176.12,0.0
2021,3204955,36.01,5.64,1.0,1.0,0.0,2.0,2160.0,1186.0,361.71,22.0
2020,5202155,43.02,16.69,1.0,1.0,0.0,0.0,2460.0,1519.0,297.81,150.88
2020,5204250,35.08,24.15,1.0,1.0,0.0,0.0,2566.0,1769.0,489.03,226.1
2020,5212105,35.24,55.81,1.0,1.0,0.0,0.0,2936.0,2779.0,465.56,348.89
2020,5214606,192.39,69.68,1.0,1.0,0.0,0.0,12537.0,5758.0,1836.08,578.6
2020,5217708,59.48,70.58,1.0,1.0,0.0,0.0,7292.0,6516.0,1052.0,756.22
2019,5218003,221.09,168.18,1.0,1.0,1.0,0.0,16463.0,2388.0,2410.97,248.53
2020,5220108,247.61,192.0,1.0,1.0,1.0,0.0,14798.0,11604.0,2070.61,1313.65
2021,3153509,28.87,25.0,1.0,1.0,0.0,1.0,2141.0,2048.0,314.23,0.0
2019,3103405,122.27,74.61,1.0,1.0,6.0,1.0,10823.0,6639.0,1956.93,598.22
2019,3104601,50.57,34.0,1.0,1.0,0.0,2.0,5086.0,5673.0,928.84,0.0
2019,3105905,91.66,126.34,1.0,1.0,0.0,25.0,8189.0,7822.0,1285.58,74.07
2020,3106408,35.55,18.0,1.0,1.0,0.0,0.0,2072.0,750.0,327.89,1300.0
2020,3107703,22.98,20.0,1.0,1.0,1.0,0.0,1411.0,1229.0,209.37,402.0
2019,3108552,86.25,104.48,1.0,1.0,0.0,0.0,5402.0,1234.0,770.07,103.21
2019,3112307,136.18,111.11,1.0,1.0,1.0,1.0,13610.0,11251.0,1670.97,0.0
2020,3115458,12.41,6.25,1.0,1.0,1.0,0.0,1501.0,1180.0,261.85,0.0
2021,3117009,16.45,15.2,1.0,1.0,2.0,0.0,1778.0,1123.0,218.52,0.0
2020,3121209,22.16,17.73,1.0,1.0,0.0,0.0,2094.0,1939.0,329.56,176.88
2019,3121209,22.16,17.73,1.0,1.0,0.0,0.0,2028.0,1865.0,313.34,132.55
2019,3121605,153.57,135.34,1.0,1.0,12.0,8.0,18667.0,15016.0,2661.39,553.8
2019,3123601,121.24,119.65,1.0,1.0,0.0,0.0,8475.0,8354.0,1949.17,0.0
2021,3131505,31.53,24.57,1.0,1.0,1.0,0.0,3019.0,2385.0,428.05,0.0
2019,3135456,28.6,19.34,1.0,1.0,2.0,0.0,1837.0,1132.0,279.36,111.96
2020,3136009,43.24,28.35,1.0,1.0,2.0,0.0,4327.0,3162.0,503.61,256.43
2021,3137403,62.27,57.55,1.0,1.0,1.0,,3699.0,4228.0,548.1,0.0
2021,3138625,39.83,38.31,1.0,1.0,0.0,0.0,3005.0,2954.0,358.7,226.23
2020,3138625,26.29,18.08,1.0,1.0,0.0,0.0,2957.0,2847.0,375.67,221.41
2021,3138658,33.13,32.71,1.0,1.0,0.0,0.0,2436.0,1037.0,237.12,67.94
2020,3141207,25.61,28.04,1.0,1.0,1.0,2.0,1648.0,1536.0,256.74,0.0
2020,3143450,18.8,14.0,1.0,1.0,0.0,0.0,1437.0,810.0,171.45,139.0
2019,3148202,23.17,23.2,1.0,1.0,0.0,1.0,2094.0,2045.0,338.53,0.0
2020,3148509,36.26,24.43,1.0,1.0,2.0,1.0,2137.0,1680.0,365.93,154.9
2020,3150604,10.0,8.0,1.0,1.0,6.0,1.0,1935.0,1554.0,820.0,0.0
2019,3152709,36.37,30.64,1.0,1.0,0.0,0.0,2966.0,2515.0,357.35,182.04
2021,3155108,16.44,12.57,1.0,1.0,1.0,0.0,1484.0,1069.0,252.69,0.0
2021,3156700,491.08,327.52,1.0,1.0,0.0,0.0,37707.0,30662.0,15054.05,0.0
2020,3159803,111.93,125.0,1.0,1.0,0.0,2.0,8551.0,7270.0,1475.97,0.0
2021,3160454,13.88,12.52,1.0,1.0,0.0,0.0,932.0,766.0,99.76,47.82
